key,average_temperature,average_temperature_95pci_lb,average_temperature_95pci_ub,average_rainfall,average_rainfall_95pci_lb,average_rainfall_95pci_ub,discomfort
Afghanistan,4.998446415979709,4.800425752431235,5.196467079528182,2.7586993979328165,2.0377309196573035,3.4796678762083295,Yes
Albania,7.785941644562334,7.625161602483001,7.946721686641668,5.4824423480083855,4.644489392260459,6.320395303756312,Yes
Algeria,10.81439098470948,10.72808183790522,10.900700131513739,1.5614003973376362,1.4637580827493457,1.6590427119259268,Yes
Angola,25.924859211584874,25.826979123194985,26.022739299974763,7.557297297297297,5.6265139941766575,9.488080600417938,No
Argentina,22.389668571100916,22.311918770915533,22.4674183712863,5.47867074617737,5.267227016182819,5.690114476171921,No
Australia,23.55445061085627,23.502950763449874,23.60595045826267,2.6519266606801684,2.567827988591184,2.736025332769153,No
Austria,-2.2694950279051986,-2.4147212822773625,-2.124268773533035,2.6628480583170253,2.51907919091338,2.806616925720671,Yes
Azerbaijan,4.18922705796497,4.059286733583481,4.31916738234646,9.112258688607596,7.999897336210669,10.224620041004524,Yes
Bahrain,18.524427184466017,18.427819300983906,18.621035067948128,3.3093749999999997,1.3395740113100407,5.279175988689959,No
Bangladesh,20.402197905706192,20.299692790127665,20.50470302128472,0.3955713071077336,0.24995441196007914,0.541188202255388,No
Barbados,26.164895908111987,26.120909081576833,26.20888273464714,2.599406276505513,2.1361355023315816,3.062677050679444,No
Belarus,-3.4625743351165457,-3.6791739283645084,-3.245974741868583,1.550297305661821,1.4762778556110305,1.6243167557126115,Yes
Belgium,4.08104118104118,3.9259234352031904,4.23615892687917,2.804527162977867,2.6054921048447475,3.0035622211109865,Yes
Belize,25.018766066838044,24.938096275742843,25.099435857933244,3.9642580019398643,3.4531161715022813,4.475399832377447,No
Benin,27.713908192738504,27.655231453743962,27.772584931733046,3.0686372705530642,2.2470198936254757,3.8902546474806527,No
Bermuda,18.686632243258746,18.589035132712265,18.784229353805227,4.255430528375733,3.7882332112497767,4.722627845501689,No
Bolivia,24.489661652373663,24.42273362926058,24.556589675486745,8.501135232380186,8.20641837537733,8.795852089383041,No
Bosnia and Herzegovina,1.427920094898519,1.2156090903284535,1.6402310994685843,3.1850038249904467,2.9326560366024474,3.437351613378446,Yes
Botswana,26.393989393638165,26.308962821200375,26.479015966075956,4.826259639679716,4.521647654580651,5.130871624778781,No
Brazil,26.109887832568802,26.077592865909896,26.142182799227708,7.95568298964724,7.740601133896828,8.170764845397652,No
Brunei,27.13776702942362,27.09882382220769,27.17671023663955,11.130747767857144,10.09222211992642,12.169273415787869,No
Bulgaria,1.647009900990099,1.472072652421902,1.8219471495582957,1.7690547275053305,1.5859439654403416,1.9521654895703195,Yes
Burkina Faso,26.630490701556422,26.534831741737758,26.726149661375086,3.4172231042128596,1.943482950079351,4.8909632583463685,No
Cambodia,27.88827952233525,27.814303662914455,27.962255381756044,8.204166666666666,-1.3972998448269625,17.805633178160292,No
Cameroon,26.895758815012307,26.80802813032228,26.983489499702333,5.13603382487725,3.9520974990128828,6.319970150741618,No
Canada,-14.514532561926604,-14.689861136748272,-14.339203987104936,2.279628883454337,2.223243325240597,2.336014441668077,Yes
Cape Verde,22.338209665128797,22.286180153190678,22.390239177066917,0.9356164383561644,0.2552020977142302,1.6160307789980985,No
Central African Republic,25.161377773625425,25.071848320237503,25.250907227013347,4.523891457274827,3.5560968782681175,5.491686036281536,No
Chad,26.910401236449335,26.791842665563895,27.028959807334775,1.929080118694362,0.8243903938036545,3.0337698435850697,No
